sport_mean,sport_median,sport_var,sport_std,sport_entropy,sport_cv,sport_cvq,sport_rte,tcp_seq_median,tcp_seq_mean,tcp_seq_var,tcp_seq_std,tcp_seq_entropy,tcp_seq_cv,tcp_seq_cvq,tcp_seq_rte,tcp_dataofs_median,tcp_flags_median,tcp_flags_rte,tcp_window_mean,Label1
0.996074644,0.998106285,1.89e-05,0.004350937,0.007839522,0.004368083,0.00471036,0.100200401,0.490815981,0.469613039,0.106273489,0.325996148,0.011342195,0.664192204,0.890895034,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.995513486,0.996749409,2.39e-05,0.004889037,0.007839522,0.00491107,0.00522969,0.100200401,0.576450052,0.578042146,0.069046121,0.262766286,0.011342195,0.455835307,0.646938267,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.994825955,0.998583737,3.19e-05,0.005650656,0.007839522,0.005680045,0.005985606,0.100200401,0.507075996,0.483425463,0.075511093,0.274792819,0.011342195,0.541916441,0.78239922,0.601202405,0.8,0.666666667,0.008016032,0.206973605,0
0.994323512,0.998527159,4.54e-05,0.006740814,0.007839522,0.006779296,0.007104153,0.100200401,0.512212577,0.49986956,0.092612726,0.304323391,0.011342195,0.594134944,0.82305372,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.995367845,0.998589148,4.52e-05,0.00672531,0.007839522,0.006756607,0.007649418,0.100200401,0.473721226,0.422488089,0.095109947,0.308399007,0.011342195,0.651013698,0.796610197,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.994947958,0.998533638,5.82e-05,0.007630585,0.007839522,0.007669331,0.007709772,0.100200401,0.460579294,0.436676557,0.074058772,0.272137413,0.011342195,0.590858983,0.828212259,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.997229909,0.998537584,2.63e-05,0.005126186,0.007839522,0.005140426,0.001148186,0.100200401,0.473651295,0.409009031,0.087232045,0.295350715,0.011342195,0.623561507,0.777071229,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.997617449,0.998541594,1.79e-05,0.004235154,0.007839522,0.004245268,0.001145034,0.100200401,0.527485614,0.527412266,0.102020458,0.319406416,0.011342195,0.605526307,0.871682543,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.997680061,0.998545666,2.23e-05,0.004721201,0.007839522,0.00473218,0.001141832,0.100200401,0.450682952,0.467306326,0.078647577,0.280441753,0.011342195,0.622259511,0.855673782,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.998576038,0.998549884,6.99e-07,0.000836311,0.007839522,0.000837503,0.001138516,0.100200401,0.537879592,0.550425564,0.080841358,0.284326146,0.011342195,0.528605566,0.759836925,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.996475858,0.998553827,7.68e-05,0.008763012,0.007839522,0.008794003,0.001135416,0.100200401,0.511828303,0.548917235,0.089322636,0.298868928,0.011342195,0.583924191,0.823267308,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.997992062,0.998557914,1.95e-05,0.004419127,0.007839522,0.004428018,0.001132202,0.100200401,0.549348492,0.527047744,0.089492704,0.299153311,0.011342195,0.544560176,0.776763279,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.998587996,0.998562061,6.88e-07,0.000829288,0.007839522,0.00083046,0.001128941,0.100200401,0.505444338,0.480483516,0.097124262,0.311647657,0.011342195,0.616581557,0.828077175,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.998592045,0.998566185,6.84e-07,0.00082691,0.007839522,0.000828076,0.001125699,0.100200401,0.486702171,0.466674757,0.08737699,0.295595991,0.011342195,0.607344714,0.796518304,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.998596071,0.998570285,6.8e-07,0.000824545,0.007839522,0.000825704,0.001122476,0.100200401,0.522333095,0.565648547,0.0872341,0.295354194,0.011342195,0.56545181,0.776332334,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.998600074,0.998574361,6.76e-07,0.000822194,0.007839522,0.000823347,0.001119271,0.100200401,0.511789634,0.478063988,0.101167087,0.318067739,0.011342195,0.621481401,0.80548238,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.998604054,0.998578415,6.72e-07,0.000819856,0.007839522,0.000821003,0.001116084,0.100200401,0.463508976,0.423614299,0.066557217,0.257986855,0.011342195,0.556595164,0.700421764,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.998608012,0.998582445,6.68e-07,0.000817532,0.007839522,0.000818672,0.001112915,0.100200401,0.539492205,0.52289611,0.070421532,0.265370556,0.011342195,0.49188951,0.754226111,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
0.998611947,0.998586453,6.65e-07,0.000815221,0.007839522,0.000816354,0.001109765,0.100200401,0.52651135,0.596812785,0.087710547,0.296159665,0.011342195,0.562494361,0.84386032,0.601202405,0.8,0.666666667,0.008016032,0.206972095,0
